,yearID,lgID,teamID,franchID,teamIDfg,teamIDBR,teamIDretro
0,1871,,BS1,BNA,16,BOS,BS1
1,1871,,CH1,CNA,17,CHI,CH1
2,1871,,PH1,PNA,1002,ATH,PH1
3,1871,,CL1,CFC,1020,CLE,CL1
4,1871,,RC1,ROK,1020,ROK,RC1
5,1871,,FW1,KEK,1042,KEK,FW1
6,1871,,NY2,NNA,1053,NYU,NY2
7,1871,,WS3,OLY,1057,OLY,WS3
8,1871,,CL1,CFC,1069,CLE,CL1
9,1871,,RC1,ROK,1069,ROK,RC1
10,1871,,TRO,TRO,1080,TRO,TRO
11,1872,,BS1,BNA,16,BOS,BS1
12,1872,,PH1,PNA,1002,ATH,PH1
13,1872,,BL1,BLC,1005,BAL,BL1
14,1872,,BR2,BRA,1010,BRA,BR2
15,1872,,CL1,CFC,1020,CLE,CL1
16,1872,,BR1,ECK,1032,ECK,BR1
17,1872,,MID,MAN,1045,MAN,MID
18,1872,,WS4,NAT,1050,NAT,WS4
19,1872,,NY2,NNA,1053,NYU,NY2
20,1872,,WS3,OLY,1057,OLY,WS3
21,1872,,TRO,TRO,1080,TRO,TRO
22,1873,,BS1,BNA,16,BOS,BS1
23,1873,,PH1,PNA,1002,ATH,PH1
24,1873,,BL1,BLC,1005,BAL,BL1
25,1873,,BR2,BRA,1010,BRA,BR2
26,1873,,BL4,MAR,1046,MAR,BL4
27,1873,,NY2,NNA,1053,NYU,NY2
28,1873,,PH2,PWS,1065,PHI,PH2
29,1873,,ELI,RES,1066,RES,ELI
30,1873,,WS5,WBL,1083,WAS,WS5
31,1874,,BS1,BNA,16,BOS,BS1
32,1874,,CH2,CNA,17,CHI,CH2
33,1874,,PH1,PNA,1002,ATH,PH1
34,1874,,BL1,BLC,1005,BAL,BL1
35,1874,,BR2,BRA,1010,BRA,BR2
36,1874,,HR1,HNA,1033,HAR,HR1
37,1874,,NY2,NNA,1053,NYU,NY2
38,1874,,PH2,PWS,1065,PHI,PH2
39,1875,,BS1,BNA,16,BOS,BS1
40,1875,,SL1,SLR,16,SLR,SL1
41,1875,,CH2,CNA,17,CHI,CH2
42,1875,,PH1,PNA,1002,ATH,PH1
43,1875,,BR2,BRA,1010,BRA,BR2
44,1875,,PH3,CEN,1019,CEN,PH3
45,1875,,HR1,HNA,1033,HAR,HR1
46,1875,,NH1,NHV,1052,NHV,NH1
47,1875,,NY2,NNA,1053,NYU,NY2
48,1875,,PH2,PWS,1065,PHI,PH2
49,1875,,SL2,SNA,1070,STL,SL2
50,1875,,BS1,BNA,1073,BOS,BS1
51,1875,,SL1,SLR,1073,SLR,SL1
52,1875,,KEO,WES,1084,WES,KEO
53,1875,,WS6,WNT,1088,WAS,WS6
54,1876,NL,BSN,ATL,16,BSN,BSN
55,1876,NL,CHN,CHC,17,CHC,CHN
56,1876,NL,PHN,ATH,1002,ATH,PHN
57,1876,NL,CN1,CNR,1028,CIN,CN1
58,1876,NL,HAR,HAR,1033,HAR,HAR
59,1876,NL,LS1,LGR,1043,LOU,LS1
60,1876,NL,NY3,NYU,1053,NYU,NY3
61,1876,NL,SL3,SBS,1070,STL,SL3
62,1877,NL,BSN,ATL,16,BSN,BSN
63,1877,NL,CHN,CHC,17,CHC,CHN
64,1877,NL,CN1,CNR,1028,CIN,CN1
65,1877,NL,HAR,HAR,1033,HAR,HAR
66,1877,NL,LS1,LGR,1043,LOU,LS1
67,1877,NL,SL3,SBS,1070,STL,SL3
68,1878,NL,BSN,ATL,16,BSN,BSN
69,1878,NL,CHN,CHC,17,CHC,CHN
70,1878,NL,CN1,CNR,1028,CIN,CN1
71,1878,NL,IN1,IBL,1035,IND,IN1
72,1878,NL,ML2,MLG,1048,MLG,ML2
73,1878,NL,PRO,PRO,1048,PRO,PRO
74,1878,NL,ML2,MLG,1064,MLG,ML2
75,1878,NL,PRO,PRO,1064,PRO,PRO
76,1879,NL,BSN,ATL,16,BSN,BSN
77,1879,NL,CHN,CHC,17,CHC,CHN
78,1879,NL,BFN,BUF,1015,BUF,BFN
79,1879,NL,CL2,CBL,1018,CLV,CL2
80,1879,NL,CN1,CNR,1028,CIN,CN1
81,1879,NL,PRO,PRO,1064,PRO,PRO
82,1879,NL,SR1,SYR,1076,SYR,SR1
83,1879,NL,TRN,TRT,1081,TRO,TRN
84,1880,NL,BSN,ATL,16,BSN,BSN
85,1880,NL,CHN,CHC,17,CHC,CHN
86,1880,NL,BFN,BUF,1015,BUF,BFN
87,1880,NL,CL2,CBL,1018,CLV,CL2
88,1880,NL,CN1,CNR,1028,CIN,CN4
89,1880,NL,PRO,PRO,1064,PRO,PRO
90,1880,NL,TRN,TRT,1081,TRO,TRN
91,1880,NL,WOR,WOR,1089,WOR,WOR
92,1881,NL,BSN,ATL,16,BSN,BSN
93,1881,NL,CHN,CHC,17,CHC,CHN
94,1881,NL,BFN,BUF,1015,BUF,BFN
95,1881,NL,CL2,CBL,1018,CLV,CL2
96,1881,NL,DTN,DTN,1031,DTN,DTN
97,1881,NL,PRO,PRO,1064,PRO,PRO
98,1881,NL,TRN,TRT,1081,TRO,TRN
99,1881,NL,WOR,WOR,1089,WOR,WOR
100,1882,NL,BSN,ATL,16,BSN,BSN
